index,signal_factor,protocol,n,is_info,mean,std,median,min,max,feature_group
33,0.5,DGP Realizations,4096,True,0.026440026459139454,0.008313271202508797,0.027854237478274424,-0.0005805119662172231,0.04261574694520398,informative
34,0.5,DGP Realizations,8192,False,-0.00019447370247769398,0.0036089921731794535,0.0,-0.01270390349161854,0.011400584983927597,noise
35,0.5,DGP Realizations,8192,True,0.02653347616381089,0.005536553009558336,0.026327958408158825,0.007034703585430346,0.03860151835308079,informative
36,0.5,K-Fold CV,32,False,0.0012083333333333325,0.07496802651056328,0.0,-0.8333333333333331,0.8333333333333331,noise
37,0.5,K-Fold CV,32,True,0.0013333333333333335,0.061930533232825075,0.0,-0.8333333333333331,0.8333333333333331,informative
38,0.5,K-Fold CV,64,False,-0.007176190476190478,0.1548499732442103,0.0,-0.7119047619047618,0.7595238095238095,noise
39,0.5,K-Fold CV,64,True,0.008368650793650796,0.16474295816218204,0.0,-0.7,0.7,informative
40,0.5,K-Fold CV,128,False,-0.0015081572748239366,0.08000387220031516,0.0,-0.5172216672216674,0.457850482850483,noise
41,0.5,K-Fold CV,128,True,0.016245258907758874,0.09765104157851455,0.0,-0.6147491397491398,0.480377955377955,informative
42,0.5,K-Fold CV,256,False,0.0002892782334098602,0.07022820758122046,0.0,-0.38285467014999863,0.35043214395824207,noise
43,0.5,K-Fold CV,256,True,0.030125834136733014,0.08913883223611441,0.0,-0.31051650404260145,0.4170129676092016,informative
44,0.5,K-Fold CV,512,False,-0.00036666794510257177,0.04864543436851953,0.0,-0.24578812511338421,0.23460492432218882,noise
45,0.5,K-Fold CV,512,True,0.01893396989200089,0.05975614772998729,0.003466403932416151,-0.2436678574841713,0.22530442043821175,informative
46,0.5,K-Fold CV,1024,False,-0.0004539922643896217,0.03457039876174994,0.0,-0.1563823509158615,0.13864593666414793,noise
47,0.5,K-Fold CV,1024,True,0.019210627629544057,0.04363900797077487,0.01220941015939081,-0.15564834825175744,0.17880537257859652,informative
48,0.5,K-Fold CV,2048,False,-0.001769298744433779,0.023621727427979394,0.0,-0.10962054186749581,0.09757525778642195,noise
49,0.5,K-Fold CV,2048,True,0.020532326129940794,0.032533895558911965,0.018853355048146003,-0.09527715625985911,0.12956372466559118,informative
50,0.5,K-Fold CV,4096,False,-8.626360276478748e-05,0.01696311540832055,0.0,-0.06564773046878791,0.06519985233166636,noise
51,0.5,K-Fold CV,4096,True,0.023280544969322758,0.02327911002752529,0.022433686598440472,-0.060028831032735486,0.08855393703707337,informative
52,0.5,K-Fold CV,8192,False,-0.00023909561302169755,0.011638877286863568,0.0,-0.05709335211849753,0.04844365586216037,noise
53,0.5,K-Fold CV,8192,True,0.02439610069941811,0.017610141090945396,0.024707044317991755,-0.035099232838897265,0.0822749769986082,informative
54,2.0,Bootstrap,32,False,0.0684728174437892,0.10644761895533496,0.04610640294783375,-0.24958664666245256,0.6211999819694316,noise
55,2.0,Bootstrap,32,True,0.303165118873128,0.1613670267597146,0.31018627309327584,-0.1751723984418483,0.6913454359843709,informative
56,2.0,Bootstrap,64,False,0.0863716375837646,0.08018046984105867,0.07881221847831021,-0.1462872170876821,0.45043842712226834,noise
57,2.0,Bootstrap,64,True,0.2670322948332723,0.1096284942631441,0.26380820042125563,-0.03292645762566204,0.600602769426672,informative
58,2.0,Bootstrap,128,False,0.07581219761333703,0.05715770388768228,0.07172096775319092,-0.09732376621109484,0.31695665863443745,noise
59,2.0,Bootstrap,128,True,0.27458129817893673,0.0692721391268922,0.2763889411036474,0.0669919751983814,0.5178756510860174,informative
60,2.0,Bootstrap,256,False,0.09109281525373356,0.04166138868301414,0.09073143293925767,-0.036505137193624915,0.24198934769300529,noise
61,2.0,Bootstrap,256,True,0.2895417216294768,0.04637830053481726,0.2884772138555024,0.16148313290115768,0.42881462079432753,informative
62,2.0,Bootstrap,512,False,0.09602179898484281,0.030368134387577173,0.09650688217260694,-0.004552259787270252,0.20913469371383697,noise
63,2.0,Bootstrap,512,True,0.28544766630737356,0.03692402678403029,0.2846802680321172,0.1814285386738974,0.3986997354079591,informative
64,2.0,Bootstrap,1024,False,0.09753128954429038,0.021611744554703483,0.09744891200430295,0.02479308218973708,0.17415350300568733,noise
65,2.0,Bootstrap,1024,True,0.27895532254961164,0.025835792384640233,0.28008975007522185,0.20057168183733243,0.3598217262887331,informative
66,2.0,Bootstrap,2048,False,0.09839136177239037,0.01507380620527016,0.09822302062102573,0.038611347655811645,0.14536810433898184,noise
67,2.0,Bootstrap,2048,True,0.2899416447336788,0.01742152717656196,0.2897645619889422,0.23061111779434418,0.34083276476678526,informative
68,2.0,Bootstrap,4096,False,0.09584265786499994,0.01011856732751401,0.09601689152906134,0.06098135931787674,0.13497615418932618,noise
69,2.0,Bootstrap,4096,True,0.2883613217536064,0.011481001450542157,0.2886698429100961,0.250107917855364,0.3246099331036394,informative
70,2.0,Bootstrap,8192,False,0.09757984505580147,0.007493144149723088,0.09775506295527858,0.0676275386123808,0.1226682008378095,noise
71,2.0,Bootstrap,8192,True,0.2945196407008239,0.009059439894430027,0.29431757756678345,0.27129122270033856,0.3249667007017101,informative
72,2.0,DGP Realizations,32,False,0.0036767578268154396,0.0719150654880831,0.0,-0.34649703903767337,0.2496645940096529,noise
73,2.0,DGP Realizations,32,True,0.2526642916197676,0.12035239663340848,0.24920935698073854,-0.0504076040381185,0.5695818070818071,informative
74,2.0,DGP Realizations,64,False,-0.0028211006643340084,0.04097310608583887,0.0,-0.168872065296096,0.1415638194207931,noise
75,2.0,DGP Realizations,64,True,0.2335755237239927,0.08381310199308172,0.24387782104402933,0.00969443966469452,0.43675905076362764,informative
76,2.0,DGP Realizations,128,False,0.0006301832585947936,0.03292646731660877,0.0,-0.13186018973298408,0.11554156001490412,noise
77,2.0,DGP Realizations,128,True,0.23976772420658643,0.05795087742187409,0.23628346935727307,0.08402827801496748,0.3623798302403123,informative
78,2.0,DGP Realizations,256,False,0.0020029984962200297,0.019217896028672195,0.0,-0.06295228265248198,0.08330123368070819,noise
79,2.0,DGP Realizations,256,True,0.22741296711481593,0.04290731740510693,0.22712093885782014,0.12332967762733027,0.31740541141251977,informative
80,2.0,DGP Realizations,512,False,0.0021727815875057224,0.015240865128622653,0.0,-0.04113981297136782,0.059671319491929165,noise
81,2.0,DGP Realizations,512,True,0.23338241414367497,0.026226837788226993,0.23071962931380874,0.16327768572844414,0.30884945529898533,informative
82,2.0,DGP Realizations,1024,False,0.0009854379931405815,0.010618530566852098,0.0,-0.03266485781232964,0.03511620101607882,noise
83,2.0,DGP Realizations,1024,True,0.22699229081911892,0.020087789954319743,0.23102395620260396,0.15588429899089729,0.28556058132532613,informative
84,2.0,DGP Realizations,2048,False,0.000497923879039714,0.006909318885917961,0.0,-0.020285410440514795,0.025878075998485794,noise
85,2.0,DGP Realizations,2048,True,0.2281804028012926,0.014062323542978167,0.22858108772724717,0.19248026239731053,0.2642433776901387,informative
86,2.0,DGP Realizations,4096,False,-0.00046013006986875146,0.005055842365428846,0.0,-0.02337121074447346,0.015181371069981076,noise
87,2.0,DGP Realizations,4096,True,0.22763855385716278,0.009971385729010558,0.2287765410484508,0.20105648357575223,0.24650261261350792,informative
88,2.0,DGP Realizations,8192,False,-0.00027123073182213335,0.0038616407480391328,0.0,-0.015964139629232044,0.010016946879066513,noise
89,2.0,DGP Realizations,8192,True,0.2298031650415211,0.0065819178509765215,0.2298297199677064,0.21736259226202037,0.24698620795438564,informative
90,2.0,K-Fold CV,32,False,0.0012361111111111106,0.07685876542701994,0.0,-0.8333333333333331,0.8333333333333331,noise
91,2.0,K-Fold CV,32,True,0.005208333333333332,0.08259363693190537,0.0,-0.8333333333333331,0.8333333333333331,informative
