signal_factor,n,seed,protocol,n_iter,variable,is_info,delta
0.5,32,0,Bootstrap,100,$X_1$,True,0.26741366922172194
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0565283255008997
0.5,32,0,Bootstrap,100,$Z_2$,False,0.21907639834309034
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.05220526001776049
0.5,32,0,Bootstrap,100,$X_1$,True,0.0383345834790334
0.5,32,0,Bootstrap,100,$Z_1$,False,0.1127269445901442
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.025575509559884413
0.5,32,0,Bootstrap,100,$X_1$,True,0.11912381174789255
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.06606639887889898
0.5,32,0,Bootstrap,100,$Z_3$,False,0.053912538510113794
0.5,32,0,Bootstrap,100,$X_1$,True,0.2320212195285265
0.5,32,0,Bootstrap,100,$Z_1$,False,0.011355078583696887
0.5,32,0,Bootstrap,100,$Z_2$,False,0.10912352691812854
0.5,32,0,Bootstrap,100,$Z_3$,False,0.2619495457404226
0.5,32,0,Bootstrap,100,$X_1$,True,0.11213429391278673
0.5,32,0,Bootstrap,100,$Z_1$,False,0.15764971738516032
0.5,32,0,Bootstrap,100,$Z_2$,False,0.09492710873685128
0.5,32,0,Bootstrap,100,$Z_3$,False,0.04281681999251985
0.5,32,0,Bootstrap,100,$X_1$,True,0.06898903891459351
0.5,32,0,Bootstrap,100,$Z_1$,False,0.05584583241564012
0.5,32,0,Bootstrap,100,$Z_2$,False,0.1212124923906881
0.5,32,0,Bootstrap,100,$Z_3$,False,0.02336123633362508
0.5,32,0,Bootstrap,100,$X_1$,True,0.04938724469974476
0.5,32,0,Bootstrap,100,$Z_1$,False,0.03683095281639526
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.006586891322333699
0.5,32,0,Bootstrap,100,$Z_3$,False,0.1137946753683532
0.5,32,0,Bootstrap,100,$X_1$,True,0.09947310279160115
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.012825519558055998
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.032421963113288044
0.5,32,0,Bootstrap,100,$Z_1$,False,0.04134728258548259
0.5,32,0,Bootstrap,100,$Z_2$,False,0.13455276225695467
0.5,32,0,Bootstrap,100,$Z_3$,False,0.05304053585303592
0.5,32,0,Bootstrap,100,$X_1$,True,-0.07225226398987994
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.14998940894360135
0.5,32,0,Bootstrap,100,$Z_3$,False,0.037968530516472754
0.5,32,0,Bootstrap,100,$X_1$,True,0.11534295208468004
0.5,32,0,Bootstrap,100,$Z_1$,False,0.042472948124363086
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.04299576543269845
0.5,32,0,Bootstrap,100,$X_1$,True,0.23804089429820197
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.018550132020357157
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.14167875594206158
0.5,32,0,Bootstrap,100,$X_1$,True,0.09035207170975657
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.02813028984903987
0.5,32,0,Bootstrap,100,$Z_2$,False,0.03751135372410541
0.5,32,0,Bootstrap,100,$Z_3$,False,0.04805513253781779
0.5,32,0,Bootstrap,100,$X_1$,True,0.20193749659940963
0.5,32,0,Bootstrap,100,$Z_1$,False,0.037918055537298656
0.5,32,0,Bootstrap,100,$Z_2$,False,0.2977369450993197
0.5,32,0,Bootstrap,100,$Z_3$,False,0.1992211361624614
0.5,32,0,Bootstrap,100,$X_1$,True,0.176177103822037
0.5,32,0,Bootstrap,100,$Z_1$,False,0.292891465848899
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0637611216220475
0.5,32,0,Bootstrap,100,$Z_3$,False,0.08006406854612447
0.5,32,0,Bootstrap,100,$X_1$,True,0.2803176041687072
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.19765490725248203
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.03765686301730575
0.5,32,0,Bootstrap,100,$Z_3$,False,0.018421051341236616
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.10862215552013321
0.5,32,0,Bootstrap,100,$Z_3$,False,0.24591139953470997
0.5,32,0,Bootstrap,100,$X_1$,True,0.04958571758959085
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0926434628628936
0.5,32,0,Bootstrap,100,$X_1$,True,0.02423439321901011
0.5,32,0,Bootstrap,100,$Z_1$,False,0.01389716718180356
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.011009779841069989
0.5,32,0,Bootstrap,100,$Z_3$,False,0.00791958841862428
0.5,32,0,Bootstrap,100,$X_1$,True,0.30730587580311863
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.0393113703086132
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.0662972458166955
0.5,32,0,Bootstrap,100,$Z_3$,False,0.026431752343665238
0.5,32,0,Bootstrap,100,$X_1$,True,0.07933755888719096
0.5,32,0,Bootstrap,100,$Z_1$,False,0.14958573275867515
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.019756967773660428
0.5,32,0,Bootstrap,100,$Z_1$,False,0.19440443019685816
0.5,32,0,Bootstrap,100,$Z_2$,False,-9.095670139913636e-05
0.5,32,0,Bootstrap,100,$Z_3$,False,0.2211545285462213
0.5,32,0,Bootstrap,100,$X_1$,True,0.1563372876102651
0.5,32,0,Bootstrap,100,$Z_1$,False,0.035112545100744796
0.5,32,0,Bootstrap,100,$Z_2$,False,0.05616049480218699
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.25417516833441756
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.29239726164194346
0.5,32,0,Bootstrap,100,$Z_3$,False,0.1782597369611718
0.5,32,0,Bootstrap,100,$X_1$,True,0.3873665397102899
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.07138052919302895
0.5,32,0,Bootstrap,100,$Z_3$,False,0.015362460116284282
0.5,32,0,Bootstrap,100,$X_1$,True,0.26023250020691346
