combo,combo_size,logloss_original,logloss_null,delta,realization,has_informative,combo_type
"('$Z_{1}$', '$Z_{2}$', '$Z_{6}$')",3,0.7060616296250513,0.7068680154672239,0.00080638584217263,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{3}$', '$Z_{4}$')",3,0.7040602622719508,0.7038622896738481,-0.00019797259810272472,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{3}$', '$Z_{5}$')",3,0.6982448660403966,0.6990147610269996,0.0007698949866029592,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{3}$', '$Z_{6}$')",3,0.7005761088669286,0.7030020550895519,0.0024259462226233763,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{4}$', '$Z_{5}$')",3,0.7048962844808009,0.7085345971638692,0.0036383126830683565,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{4}$', '$Z_{6}$')",3,0.7081037229168299,0.7012534185838285,-0.006850304333001378,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{5}$', '$Z_{6}$')",3,0.6995721844205981,0.7010621836282758,0.0014899992076776725,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{3}$', '$Z_{4}$')",3,0.7105805905925903,0.7035026959452366,-0.007077894647353644,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{3}$', '$Z_{5}$')",3,0.7072002702417487,0.7034110166157963,-0.0037892536259523935,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{3}$', '$Z_{6}$')",3,0.7031085064531378,0.6927904392045994,-0.010318067248538454,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{4}$', '$Z_{5}$')",3,0.7096900120809374,0.7015044059448325,-0.008185606136104862,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{4}$', '$Z_{6}$')",3,0.705270524322352,0.7043838048656265,-0.0008867194567255821,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{5}$', '$Z_{6}$')",3,0.6991323920294654,0.7026218770151037,0.0034894849856382804,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{4}$', '$Z_{5}$')",3,0.7055676565394524,0.6999781869208327,-0.005589469618619725,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{4}$', '$Z_{6}$')",3,0.7049380870501132,0.7011663492591477,-0.0037717377909655125,24,False,"$S \cap \{1,2\} = \emptyset$"
